,time,dTLB-load-misses,dTLB-store-misses,L2-misses,L1-dcache-load-misses,branch-misses,iTLB-load-misses,L1-icache-load-misses,branch-load-misses,cycles,instructions,cpi
1026,341.152573595,0.00018747499383305942,3.1118420028999343e-07,0.00038684209253808904,0.0026734597804782966,0.006251772820665367,6.717105042200492e-07,0.0008537841824413098,0.006216660321820384,0.6017992999408125,1.0,0.6017992999408125
1027,341.484770607,0.00018493505025994562,3.289675959161929e-07,0.00037914685669801013,0.0025764475557384834,0.005792140262899473,7.489538942597909e-07,0.0008927081827400458,0.005908538880365172,0.5946384807906625,1.0,0.5946384807906625
1028,341.816943416,0.00018792197342533618,3.922536669797615e-07,0.0003825281613650167,0.0026578313365764224,0.006367911626224163,6.393999808031585e-07,0.0007488155632176331,0.006329479380538644,0.6055475405129891,1.0,0.6055475405129891
1029,342.149126396,0.00018822406673221656,3.9194882310167003e-07,0.00038030065556486967,0.0027250113902658676,0.006189658440544341,7.523841729891355e-07,0.0008962563088258189,0.006111306754704141,0.5989458091931402,1.0,0.5989458091931402
1030,342.481324050,0.0001866007398004408,3.2176015592494555e-07,0.00037194043979786264,0.0027606858873231075,0.006003263184898026,7.761244973219899e-07,0.0007066646049142569,0.00586593140020564,0.5936172961785705,1.0,0.5936172961785705
1031,342.813511296,0.00017596335679415196,3.844881321121251e-07,0.0003417856794326954,0.002670964327684167,0.005491114521420073,8.302899862886423e-07,0.0006456200809613466,0.0054185292934495095,0.582756769535006,1.0,0.582756769535006
1032,343.145707514,0.0001768876910069194,3.555037767392949e-07,0.0003636745462697703,0.0026430665144056486,0.005802755641762363,1.0264363590218188e-06,0.0006897910880827887,0.0058924220970725544,0.5899059643451003,1.0,0.5899059643451003
1033,343.477893302,0.0001785880700398503,3.4274807812437e-07,0.000360408417669784,0.002665352683261172,0.006002125348842629,7.122631490165479e-07,0.0007724653800187587,0.006074363586641603,0.595791540368189,1.0,0.595791540368189
1034,343.810074355,0.00018090450672729415,4.2404057861962224e-07,0.000355399174057962,0.002620642324511788,0.006002168359724383,9.301323527925769e-07,0.000721726254544499,0.00580553102855691,0.598712178522743,1.0,0.598712178522743
1035,344.142258118,0.00018813883566317122,0.00011359334816752595,0.0003387877987001734,0.011433863813447354,0.006211381086654288,1.0883928585465384e-06,0.001103799978232457,0.006362241288997892,0.7132606115504199,1.0,0.7132606115504199
1036,344.474440231,0.0001698742632456363,4.518538751630248e-07,0.0003419642194547945,0.002677301921381562,0.00680607581089678,9.67396352908375e-07,0.0009661923031163976,0.006924710246942735,0.610246510658172,1.0,0.610246510658172
1037,344.806634256,0.00016624345753033388,4.092836525342399e-07,0.0003318832714240289,0.0026478197943739425,0.006699658303274075,7.243723639665964e-07,0.0009215867201244362,0.006751421740132838,0.6049372555656618,1.0,0.6049372555656618
1038,345.138828830,0.0001718025500422993,4.498108918383635e-07,0.00033390298432907616,0.0026138570634137723,0.006641083639021465,8.604789479562794e-07,0.0009883897738359791,0.0066249846550961704,0.6029605922634802,1.0,0.6029605922634802
1039,345.471001611,0.00017675932297981923,3.730606154433829e-07,0.0003705546358172829,0.0026492522540867963,0.006735933086961745,7.62138144608843e-07,0.0009611883398899582,0.006707576475959617,0.6074138831296646,1.0,0.6074138831296646
1040,345.803185143,0.00018006542279528577,3.8178109868049106e-07,0.00034651798411214027,0.0026331342433297475,0.0065003962098257005,6.209772844157376e-07,0.00094747208252867,0.006545462370301357,0.6070775827358236,1.0,0.6070775827358236
1041,346.135391607,0.0001772106168279413,4.019000239177596e-07,0.00035685515111821646,0.0028761937682809753,0.006471259763553796,7.00766255625703e-07,0.0012144606734630923,0.006394778666642342,0.6204195444038948,1.0,0.6204195444038948
1042,346.467548477,0.00017049292987604363,4.3221493276170743e-07,0.00032922287261412755,0.0026379458583770357,0.0066328423939832895,8.056116254381061e-07,0.0010188350154174733,0.0066507964965495546,0.6026485011550439,1.0,0.6026485011550439
1043,346.799751215,0.0001654374961123581,4.142491978724657e-07,0.00030836788944537335,0.0025265832018199733,0.006615556412735319,8.599603601403085e-07,0.0010203895047954776,0.0066426209121488505,0.5969181392138138,1.0,0.5969181392138138
1044,347.131924152,0.0001951224895654872,4.973883612844226e-07,0.00039459893897167474,0.0027326213524401684,0.006565034250933345,7.602465813539386e-07,0.0009213964576549025,0.006514409997642564,0.6007344507692319,1.0,0.6007344507692319
1045,347.464117008,0.0001818254846493416,4.292684742307969e-07,0.00036245270453932725,0.00271967255527196,0.006684356021646545,7.176420811527126e-07,0.0010096315507440693,0.006662473863656461,0.6012251773908187,1.0,0.6012251773908187
1046,347.796318354,0.00016105341107241987,4.109124954915728e-07,0.0003202038903166767,0.0025328639658003175,0.0067891435120128445,7.60122475685689e-07,0.0009467397639736349,0.006727360258317712,0.5988436259403033,1.0,0.5988436259403033
1047,348.128489928,0.00017776550708517347,3.432241662555033e-07,0.00034653202241594636,0.0025779101513271822,0.006521610364978173,7.835621469941528e-07,0.0009625548800226237,0.006620756917934336,0.6078620292437193,1.0,0.6078620292437193
1048,348.460683429,0.00016609605672385542,4.085066776415992e-07,0.00031807498959577165,0.002588606331453272,0.006498026401456881,1.0094449574519903e-06,0.0009682967759820882,0.006508311312344127,0.5995490983417296,1.0,0.5995490983417296
1049,348.792859750,0.00022834240353958936,3.8130569243574277e-07,0.00043056808106684946,0.0026511173860036324,0.006554351071182474,8.358872118876069e-07,0.0009882113727370085,0.0065634698407667025,0.6200275510596174,1.0,0.6200275510596174
1050,349.125043825,0.00017583481418866962,3.5740927848796514e-07,0.00033925855821050895,0.0026093000683637567,0.006727389557903483,7.319636515159433e-07,0.0011154400679718591,0.006674097328659418,0.60275649466155,1.0,0.60275649466155
