,time,L1-icache-load-misses,dTLB-store-misses,L2-misses,iTLB-load-misses,dTLB-load-misses,L1-dcache-load-misses,cycles,branch-load-misses,instructions,branch-misses,cpi
0,0.367140890,0.0017336216898645093,8.64338755370603e-06,1.850069914961718e-05,1.0970334023354977e-05,9.587205734857837e-06,0.011189931640723854,0.3960277030568118,0.0011398544953076565,1.0,0.001222385806852257,0.3960277030568118
1,0.774121630,0.0010242472375465905,2.918917497031372e-08,3.796417069576428e-06,1.1368575543125313e-06,2.639187903565865e-07,0.0101575373492726,0.3786228618458431,0.0008601405269470859,1.0,0.000865555422957985,0.3786228618458431
2,1.141437041,0.0009937072083198572,3.980273302846844e-08,4.368434998449258e-06,1.3475096198783203e-06,1.7009714969430957e-07,0.010197934772941262,0.38266764815897186,0.0009269158409379914,1.0,0.0008739826285360204,0.38266764815897186
3,1.508690758,0.0010295195811550494,4.8780521151001094e-08,3.789845557642503e-06,1.3331115026883176e-06,1.566990713686268e-07,0.010040444217423611,0.37664786288724605,0.0008670373451247604,1.0,0.0008265762416221151,0.37664786288724605
4,1.876098374,0.000963679722925312,9.489413933758696e-08,2.7953674989375088e-06,1.6355873663996062e-06,4.654490707649952e-07,0.009966597800909381,0.3747903776349665,0.0008572666379555984,1.0,0.0008109068412776658,0.3747903776349665
5,2.243349482,0.001227502968239266,9.315604612005264e-08,5.42112572868784e-06,1.7619701409796524e-06,3.427308263969101e-07,0.010487476736045883,0.39090081294212164,0.00092732116590769,1.0,0.0009095944045642928,0.39090081294212164
6,2.610567602,0.0010185466503010929,2.855715350792442e-08,4.151202220516637e-06,1.1217921830936428e-06,2.025878066503344e-07,0.010187642558108232,0.3793929182829789,0.0008994955729581864,1.0,0.0008395057285673455,0.3793929182829789
7,2.977813385,0.0009959573598927374,4.684363537423506e-08,3.567530389004693e-06,1.2785953425168908e-06,1.9815868777014543e-07,0.010172576664042586,0.3800476360140018,0.0008977666970614908,1.0,0.0008693568747184449,0.3800476360140018
8,3.345192812,0.0011921270273013568,4.584971034375347e-08,6.379952978131546e-06,1.332721058126267e-06,1.9058424374231854e-07,0.010425800877753903,0.38566166466160806,0.0008854389991360248,1.0,0.0008493576722296132,0.38566166466160806
9,3.712412443,0.0010035527402617085,2.7417345215255547e-08,3.533828311951657e-06,1.2608635220332764e-06,2.032895840350655e-07,0.010089010618543205,0.3771617158188972,0.0008696166683801058,1.0,0.000840499113403636,0.3771617158188972
10,4.079620584,0.001045592496647102,5.522948553732875e-08,5.034302312789802e-06,1.6666507556356096e-06,3.216107237082253e-07,0.010059685737195637,0.37944725278819896,0.0008762966116870923,1.0,0.0008321473733031123,0.37944725278819896
11,4.446942979,0.0010437112373691826,2.064148204946207e-08,3.1624748062554873e-06,1.3616719610048366e-06,2.963051455487297e-07,0.009934638440797419,0.37584241833430343,0.0008458466514228567,1.0,0.0008245399809679942,0.37584241833430343
12,4.814201373,0.0009725570370436703,1.5081287435483845e-08,2.885888135710031e-06,1.4384196816243702e-06,2.6442523970215006e-07,0.009970348379147346,0.37776354588334576,0.0008396580510444204,1.0,0.0008543039919826,0.37776354588334576
13,5.181401681,0.0010878242325599958,2.9739448131453296e-08,2.5582762047792697e-06,1.2569189744753307e-06,5.035196218118471e-07,0.01004059214187828,0.3792520873704171,0.0008589190166267256,1.0,0.0008710164771942213,0.3792520873704171
14,5.548673383,0.0009259386954219331,2.845961620862487e-08,2.2510201201202815e-06,1.275939460020015e-06,4.4688373546638337e-07,0.010034825778250779,0.37761252310118293,0.0008680802956697988,1.0,0.0008854057646467088,0.37761252310118293
15,5.916089667,0.0009519706707487591,5.8287732160371494e-08,3.21679707722709e-06,1.3094167595321102e-06,3.394403225809869e-07,0.010257299213778655,0.37848745367571346,0.0008486902952647841,1.0,0.0008676194077183711,0.37848745367571346
16,6.283391682,0.0009676586479231786,3.4265986345712606e-08,7.899175155372253e-06,1.2328832662972556e-06,2.595908056493379e-07,0.010434957827824356,0.38202945003764427,0.0008862509712715463,1.0,0.0008773760808080067,0.38202945003764427
17,6.650686657,0.0009515734890955247,3.06110424265815e-08,3.2217262293234706e-06,1.2038050392475869e-06,2.3353817761403186e-07,0.010351355815004662,0.37994933005738774,0.0008440331136636776,1.0,0.0009144288808045011,0.37994933005738774
18,7.017928135,0.0010417108725692883,1.8551469275961897e-08,3.4768826417566407e-06,1.2071947007030478e-06,2.1823273857358813e-07,0.010273942652397547,0.37783643903772807,0.0008420835711822831,1.0,0.0008741428711872349,0.37783643903772807
19,7.385163576,0.000987341912731801,1.9669509950173286e-08,6.0415917200402946e-06,1.0784317524405354e-06,2.3739063732967758e-07,0.010266203980196285,0.3804452017501195,0.0008500765418971071,1.0,0.0008931130905386045,0.3804452017501195
20,7.752400615,0.0009452179200623958,3.7644381964139655e-08,2.5054047305406037e-06,1.3452733227366633e-06,2.7138177179602494e-07,0.010328537332754241,0.3793220697308844,0.0009062703580389885,1.0,0.0009062412691983799,0.3793220697308844
