,time,instructions,L1-dcache-load-misses,branch-misses,L2-misses,iTLB-load-misses,dTLB-store-misses,branch-load-misses,L1-icache-load-misses,cycles,dTLB-load-misses,cpi
817,327.375301346,1.0,0.03766323644297694,0.004714267041311882,0.007544063147961486,1.2805538695875739e-05,0.0005354863623311991,0.00471885869482892,0.0010104650805411593,1.1941674435392893,0.004725476964035218,1.1941674435392893
818,327.775469544,1.0,0.037682466524128724,0.004740910538313978,0.007635732213172205,1.3313665341685878e-05,0.0005461393000050582,0.004752908441139277,0.0010306189270311605,1.205220136900845,0.004714793644144501,1.205220136900845
819,328.175655364,1.0,0.03714054676585223,0.004730047341000813,0.007400037770138149,1.034201195703414e-05,0.0005314175125478722,0.0047465242469047625,0.0010087457317519684,1.1824849579542014,0.0046500057208631995,1.1824849579542014
820,328.575840542,1.0,0.03733114344850655,0.00473091100559106,0.007337828964743539,1.12627936381977e-05,0.0005183715635662709,0.004701082826616728,0.0010002211211841193,1.178409348933508,0.0046169556777623955,1.178409348933508
821,328.976015374,1.0,0.03740492349428342,0.004719305131406787,0.007441640309426136,1.002885006525688e-05,0.0005325671023720841,0.0047348875431591055,0.0010015160795210502,1.185415940094602,0.004677013721110899,1.185415940094602
822,329.376206875,1.0,0.03749813265370953,0.004724779223347808,0.007441835758159993,9.804663599732574e-06,0.0005379476513545764,0.0047280539368425144,0.0010261812045442792,1.1836291735733322,0.004720241109285954,1.1836291735733322
823,329.776376829,1.0,0.0376203744503724,0.004735862795605579,0.007487605944983559,9.773052647435922e-06,0.0005380340595155561,0.0047675164816735885,0.0010023680355476265,1.1947665491721717,0.004741334919051737,1.1947665491721717
824,330.176545989,1.0,0.03746182021154846,0.00473822779317481,0.007434547578538185,1.1942401706541412e-05,0.0005337365026217199,0.0047161305009971646,0.001001564726012124,1.1892699278168648,0.004665206002078088,1.1892699278168648
825,330.576716620,1.0,0.03747681721430991,0.004707302793895221,0.007511375625042735,1.3135929475325784e-05,0.0005374853951690496,0.004691841632952873,0.001047263410336098,1.1872325031249613,0.004722160827571894,1.1872325031249613
826,330.976906671,1.0,0.03750148091255963,0.00474115381238034,0.0073745546063317255,1.524248330309018e-05,0.0005232021095149386,0.004695535636909702,0.0010381644060025006,1.1870543722535196,0.004702220890958911,1.1870543722535196
827,331.377079158,1.0,0.0374979727495151,0.004719143067209857,0.007446841133094137,1.2244942654052388e-05,0.0005402089406626581,0.004725175013750748,0.0010348155318666387,1.1872556272815347,0.00468936366885866,1.1872556272815347
828,331.777257240,1.0,0.037429732035949445,0.004741906611780992,0.007563818985978362,1.609266462304054e-05,0.0005389998523330895,0.004737425409488181,0.0010485803226735154,1.196315679193859,0.0047076317183942715,1.196315679193859
