,time,dTLB-load-misses,dTLB-store-misses,L2-misses,L1-dcache-load-misses,branch-misses,iTLB-load-misses,L1-icache-load-misses,branch-load-misses,cycles,instructions,cpi
0,0.252139272,0.00033272044521066835,0.3431818585115691,0.0002518437831440751,0.030791826884357977,0.00023648745490358273,4.948150210825324e-05,0.018046074444749295,9.55504868297304e-06,35.273461398285825,1.0,35.273461398285825
1,0.504374626,0.00016605186505430479,0.0013351190054501586,0.0007509081425064098,0.012769246051828607,0.007603547646131526,1.361065301445402e-05,0.00013744956180531095,0.008506836888542204,0.855358509978855,1.0,0.855358509978855
2,0.756576077,2.384844976608393e-05,0.0003534261311273597,5.522259393808054e-05,0.0015484443898812477,3.381131253723729e-07,6.629669124948488e-09,7.3941209725098566e-06,4.6560676239061306e-07,0.29632015477556184,1.0,0.29632015477556184
3,1.008746269,6.487084037627208e-06,0.0,6.770800275760484e-06,0.00041641244326772077,2.950502631102495e-07,1.828068544673169e-09,1.0569892325300263e-06,3.111372663033734e-07,0.2544324099442249,1.0,0.2544324099442249
4,1.260953225,6.557053273919383e-06,0.0,6.792889154833974e-06,0.0004168662471070205,5.877356466189121e-07,3.3373002016215826e-09,1.1209620566113383e-06,5.246977539216155e-07,0.25682686843305347,1.0,0.25682686843305347
5,1.513153481,6.827491145218232e-06,0.0,6.555411300875852e-06,0.0004506940875739618,3.091273194870966e-07,8.843590840996835e-08,1.2950681902739058e-06,6.77610271195298e-07,0.2550681520632197,1.0,0.2550681520632197
6,1.765332212,0.0004267033071945556,1.3436014924624868e-05,0.0005144704162123033,0.003772719838791779,0.005572985434608372,8.359976352771766e-07,0.000101806812215862,0.005730130075171461,0.537550274659635,1.0,0.537550274659635
7,2.017507539,0.0002507300756027982,7.396810649930018e-06,0.0003588245315596579,0.005372822987196904,0.008298941315377189,7.947057043280409e-07,8.539721811845736e-05,0.008346306797484663,0.5867572576996736,1.0,0.5867572576996736
8,2.269699120,0.00022686712681812917,7.941319623689858e-06,0.0003427797891124994,0.004497452943989794,0.007554150318838146,7.840357276467739e-07,6.620290411755434e-05,0.007706984438250642,0.5455683300198648,1.0,0.5455683300198648
9,2.521860009,0.0001505729255950639,5.44406313256015e-06,0.00023729425025873987,0.003200709260878584,0.005430462680094448,4.464468221376876e-07,5.7503644740093984e-05,0.005612085658656998,0.44383360971971825,1.0,0.44383360971971825
10,2.774031007,0.0005769306213680988,1.3837247590079349e-05,0.000826123271980962,0.006806615894730858,0.008722640164123305,1.248333816498151e-06,8.291106706835606e-05,0.00894295593068029,0.6618467061010334,1.0,0.6618467061010334
11,3.026196523,0.0005966551950835066,1.4828363072170191e-05,0.0008522801713922811,0.005587479575110944,0.005767764209353609,1.4658117801536778e-06,9.353785904411558e-05,0.006424026529817639,0.5785692142945567,1.0,0.5785692142945567
12,3.278355557,0.00037166600363993117,1.6564661139202673e-05,0.00045216521519178847,0.003718656300227324,0.0035703401361304628,6.149205541645447e-07,5.514806137628485e-05,0.0035771628260885743,0.43650394937086373,1.0,0.43650394937086373
13,3.530555297,0.00014701396768438863,7.796899570093698e-06,0.0002468600356919269,0.002772915519909467,0.003017861324832075,2.76819183557721e-07,4.789389715825642e-05,0.003290137017677025,0.3595200804199632,1.0,0.3595200804199632
14,3.782739048,0.0003251822188051952,1.4846202953440974e-05,0.0004207372533861051,0.0036424285712660827,0.0036330594767027156,7.642333609266737e-07,6.0408305646044425e-05,0.0037120698751235484,0.4218197329784525,1.0,0.4218197329784525
15,4.034935327,0.00032392848656988363,1.407244874642418e-05,0.00047977609588830864,0.0041134589718491,0.0039304326551771246,8.79695671588933e-07,6.83527559823099e-05,0.0038639874709826736,0.4600080179566967,1.0,0.4600080179566967
16,4.287106024,0.00011702586957648775,4.8887860133956886e-06,0.00013290060724399145,0.012880179173591178,0.002648481570834454,5.786030061911436e-07,3.6199532889699215e-05,0.0029684633618703386,0.4682953002134304,1.0,0.4682953002134304
17,4.539308728,9.998400477381274e-05,3.8266782404472105e-06,0.00013328105731389385,0.012726468555879878,0.0027815356593341263,5.01374629274985e-07,3.61175427385128e-05,0.0026890550800821107,0.4764530990640181,1.0,0.4764530990640181
18,4.791460971,0.00012491444518352625,4.661615723880006e-06,0.0002054499599264088,0.0036298112583112636,0.0032921120740467594,4.934802680266989e-07,4.63325078032323e-05,0.003050775810530282,0.40103271911874866,1.0,0.40103271911874866
19,5.043652744,0.0001443083023638169,5.806694367218576e-06,0.00018616544271222432,0.0043518925879576014,0.0032521081294584805,3.161006651068913e-07,4.354185901161828e-05,0.003320214867843724,0.3989527838306161,1.0,0.3989527838306161
20,5.295841800,3.9280155969641604e-05,2.8641780394530336e-06,4.67549290271924e-05,0.016502315393262437,0.0017426369139663606,2.391331239183824e-07,2.297168337697549e-05,0.0018035846987420347,0.4702378111445246,1.0,0.4702378111445246
21,5.548034155,3.0776755311850016e-05,2.332285609299238e-06,8.118322455004059e-05,0.02854788110675554,0.0012534515954770007,3.0127138879755294e-07,2.3303170746565267e-05,0.001262137968559121,0.5917138488402046,1.0,0.5917138488402046
22,5.800210592,4.538944650820204e-05,2.9407591782595366e-06,5.701261358137053e-05,0.029381333880265585,0.0013560545164265567,4.187347343597854e-07,2.715394221019552e-05,0.0013809687960283394,0.6061512338785171,1.0,0.6061512338785171
23,6.052394870,9.621103019348444e-05,4.770027880568545e-06,0.00011428867781393112,0.01967875533469844,0.00140372717693977,4.4986895947735423e-07,2.4512544878608594e-05,0.0015865468375208236,0.48967744287920306,1.0,0.48967744287920306
