,time,dTLB-load-misses,dTLB-store-misses,L2-misses,L1-dcache-load-misses,branch-misses,iTLB-load-misses,L1-icache-load-misses,branch-load-misses,cycles,instructions,cpi
0,0.310212037,0.00021548126367881002,6.211472738650108e-05,0.0009830820580099323,0.02568835714995304,0.0027098509963448068,0.00011521693043662608,0.003905034621407408,0.0026357537081928965,0.7306939438908912,1.0,0.7306939438908912
1,0.620705013,3.129538393837798e-05,0.00024150258157299093,0.0003278297843483567,0.007085246556731848,0.001982572167188735,1.7086895842654787e-05,0.0014258213632452794,0.008428395043558736,0.5495872897256395,1.0,0.5495872897256395
2,0.931042940,2.0133628843046996e-05,0.00017429042295697596,0.00017920785304306578,0.008391548051062408,0.008220876114395197,2.8994281167982428e-05,0.00043598120706671815,0.0010451394566935617,0.8389485977785741,1.0,0.8389485977785741
3,1.241490766,1.2880424927557536e-05,0.00016000654873222586,0.00017230242930295483,0.000932839026997449,0.0017269370494112208,4.2394428609579493e-07,0.00010406784831886118,0.0015408379767647578,0.3879942694922165,1.0,0.3879942694922165
4,1.551672914,3.56404743879968e-05,5.550262863804658e-05,0.0004721051249627244,0.015546668956482958,0.0021576155328048682,2.7165256987244495e-06,0.0004631433514343702,0.001897715531000897,0.5971099779078191,1.0,0.5971099779078191
5,1.861836594,3.187297122535925e-05,4.118964594879033e-05,0.00025755925853790076,0.006837304032835721,0.0024905884758290964,4.892649718909257e-06,0.00038188890021427464,0.002276501623794696,0.4775709983918364,1.0,0.4775709983918364
6,2.171995738,8.32125145315699e-06,3.2855334282677504e-05,0.0003177663259959137,0.010576641734795765,0.0038237656700570947,5.299820638223446e-06,0.00014968156950035248,0.0037289253716595535,0.6421131118556811,1.0,0.6421131118556811
7,2.482156741,1.3256244182616474e-05,3.413319654628652e-05,9.592757926404334e-05,0.0036894221331856087,0.0020774209522182504,5.859845590062824e-06,8.928232690156725e-05,0.002187088301809573,0.5110336108913462,1.0,0.5110336108913462
8,2.792327460,0.00010459069357362807,3.340062333270639e-05,0.0013989898872898256,0.008529040546202467,0.007885067974157148,2.947704298825284e-06,2.994839635555093e-05,0.009151714056182154,0.7027973535729024,1.0,0.7027973535729024
9,3.102529630,5.478250090696968e-05,7.101173962357317e-06,0.0004925547489773857,0.0024229830032444213,0.0008451905275977239,1.92634007375337e-06,0.0010398602460033827,0.0007380590295674317,0.6912770670548721,1.0,0.6912770670548721
10,3.412807114,8.07319586735943e-05,6.22666867236852e-05,0.0005113550434207572,0.004775193329767845,0.0008593736326935029,3.0243907733837005e-06,0.00026731682032020643,0.0007853298583767131,0.6001464523494859,1.0,0.6001464523494859
